Date,lkr_close,lkr_open,lkr_high,lkr_low,gold_close,gold_open
1975-02-20,6.536,6.536,6.536,6.536,187.7,185.6
1975-02-21,6.536,6.536,6.536,6.536,186.0,187.7
1975-02-24,6.536,6.536,6.536,6.536,186.9,186.0
1975-02-25,6.536,6.536,6.536,6.536,184.4,186.9
1975-02-26,6.536,6.536,6.536,6.536,185.2,184.4
1975-02-27,6.536,6.536,6.536,6.536,182.5,185.2
1975-02-28,6.494,6.494,6.494,6.494,183.0,182.5
1975-03-03,6.494,6.494,6.494,6.494,182.6,183.0
1975-03-04,6.494,6.494,6.494,6.494,177.0,182.6
1975-03-05,6.494,6.494,6.494,6.494,178.7,177.0
1975-03-06,6.494,6.494,6.494,6.494,180.6,178.7
1975-03-07,6.494,6.494,6.494,6.494,178.0,180.6
1975-03-10,6.494,6.494,6.494,6.494,177.2,178.0
1975-03-11,6.494,6.494,6.494,6.494,180.0,177.2
1975-03-12,6.494,6.494,6.494,6.494,178.1,180.0
1975-03-13,6.494,6.494,6.494,6.494,179.5,178.1
1975-03-14,6.494,6.494,6.494,6.494,178.7,179.5
1975-03-17,6.494,6.494,6.494,6.494,179.0,178.7
1975-03-18,6.494,6.494,6.494,6.494,178.6,179.0
1975-03-19,6.494,6.494,6.494,6.494,179.2,178.6
1975-03-20,6.494,6.494,6.494,6.494,175.5,179.2
1975-03-21,6.494,6.494,6.494,6.494,175.6,175.5
1975-03-24,6.494,6.494,6.494,6.494,175.9,175.6
1975-03-25,6.494,6.494,6.494,6.494,178.7,175.9
1975-03-26,6.494,6.494,6.494,6.494,180.7,178.7
1975-03-27,6.494,6.494,6.494,6.494,178.5,180.7
1975-03-31,6.494,6.494,6.494,6.494,179.5,178.5
1975-04-01,6.494,6.494,6.494,6.494,179.1,179.5
1975-04-02,6.494,6.494,6.494,6.494,178.1,179.1
1975-04-03,6.494,6.494,6.494,6.494,177.1,178.1
1975-04-04,6.494,6.494,6.494,6.494,173.8,177.1
1975-04-07,6.494,6.494,6.494,6.494,174.1,173.8
1975-04-08,6.494,6.494,6.494,6.494,174.5,174.1
1975-04-09,6.494,6.494,6.494,6.494,174.5,174.5
1975-04-10,6.494,6.494,6.494,6.494,173.1,174.5
1975-04-11,6.494,6.494,6.494,6.494,172.7,173.1
1975-04-14,6.494,6.494,6.494,6.494,166.2,172.7
1975-04-15,6.494,6.494,6.494,6.494,164.6,166.2
1975-04-16,6.494,6.494,6.494,6.494,166.5,164.6
1975-04-17,6.494,6.494,6.494,6.494,169.5,166.5
1975-04-18,6.494,6.494,6.494,6.494,169.0,169.5
1975-04-21,6.494,6.494,6.494,6.494,165.7,169.0
1975-04-22,6.494,6.494,6.494,6.494,166.7,165.7
1975-04-23,6.494,6.494,6.494,6.494,168.8,166.7
1975-04-24,6.494,6.494,6.494,6.494,167.0,168.8
1975-04-25,6.494,6.494,6.494,6.494,166.8,167.0
1975-04-28,6.494,6.494,6.494,6.494,166.3,166.8
1975-04-29,6.494,6.494,6.494,6.494,167.8,166.3
1975-04-30,6.494,6.494,6.494,6.494,166.8,167.8
1975-05-01,6.494,6.494,6.494,6.494,165.5,166.8
1975-05-02,6.494,6.494,6.494,6.494,165.0,165.5
1975-05-05,6.494,6.494,6.494,6.494,163.5,165.0
1975-05-06,6.494,6.494,6.494,6.494,164.9,163.5
