"Date","Price","Open","High","Low","Vol.","Change %"
"26/06/2015","133.835","133.750","133.910","133.625","","-0.36%"
"25/06/2015","134.320","133.900","134.330","133.650","","0.00%"
"24/06/2015","134.320","134.000","134.330","133.775","","0.24%"
"23/06/2015","134.005","134.050","134.100","133.875","","-0.01%"
"22/06/2015","134.025","134.150","134.200","133.875","","-0.20%"
"19/06/2015","134.300","134.300","134.350","134.050","","0.00%"
"18/06/2015","134.300","134.100","134.350","134.100","","0.15%"
"17/06/2015","134.100","134.100","134.200","133.900","","0.00%"
"16/06/2015","134.100","134.200","134.250","133.900","","-0.07%"
"15/06/2015","134.200","134.100","134.200","133.975","","0.00%"
"12/06/2015","134.200","133.900","134.200","133.900","","0.17%"
"11/06/2015","133.975","133.975","134.050","133.775","","0.00%"
"10/06/2015","133.975","133.975","134.000","133.750","","0.06%"
"09/06/2015","133.900","134.000","134.150","133.775","","-0.09%"
"08/06/2015","134.025","134.000","134.100","133.900","","0.02%"
"05/06/2015","134.000","134.050","134.100","133.825","","-0.04%"
"04/06/2015","134.050","134.050","134.100","133.875","","-0.06%"
"03/06/2015","134.125","133.950","134.125","133.875","","0.13%"
"02/06/2015","133.950","133.950","133.950","133.950","","0.00%"
"01/06/2015","133.950","134.150","134.400","133.875","","-0.04%"
"29/05/2015","134.000","133.925","134.150","133.925","","0.00%"
"28/05/2015","134.000","134.000","134.400","133.925","","0.00%"
"27/05/2015","134.000","134.100","134.150","133.925","","-0.11%"
"26/05/2015","134.150","133.950","134.300","133.800","","0.15%"
"25/05/2015","133.950","133.800","134.250","133.650","","0.15%"
"22/05/2015","133.750","133.950","134.050","133.675","","0.00%"
"21/05/2015","133.750","133.950","134.200","133.400","","0.07%"
"20/05/2015","133.650","133.450","133.800","133.400","","-0.04%"
"19/05/2015","133.700","133.600","133.700","133.400","","0.15%"
"18/05/2015","133.500","133.100","133.700","133.100","","-0.07%"
"15/05/2015","133.600","133.600","133.800","133.325","","0.00%"
"14/05/2015","133.600","133.700","133.800","133.350","","-0.07%"
"13/05/2015","133.700","133.700","133.700","133.425","","0.00%"
"12/05/2015","133.700","133.700","133.750","133.400","","0.22%"
"11/05/2015","133.400","133.500","133.650","133.200","","-0.07%"
"08/05/2015","133.500","133.500","133.500","133.325","","0.04%"
"07/05/2015","133.450","133.550","133.550","133.000","","-0.04%"
"06/05/2015","133.500","133.250","133.550","133.150","","0.30%"
"05/05/2015","133.100","133.100","133.350","133.000","","-0.15%"
"04/05/2015","133.300","133.300","133.300","133.300","","0.00%"
"01/05/2015","133.300","133.300","133.300","133.300","","0.00%"
"30/04/2015","133.300","133.100","133.300","133.000","","0.11%"
"29/04/2015","133.150","133.050","133.150","132.925","","0.00%"
"28/04/2015","133.150","133.150","133.350","132.925","","0.00%"
"27/04/2015","133.150","133.100","133.300","132.925","","0.00%"
"24/04/2015","133.150","133.300","133.300","132.925","","-0.11%"
"23/04/2015","133.300","133.150","133.350","132.925","","0.19%"
"22/04/2015","133.050","133.050","133.400","132.925","","0.00%"
"21/04/2015","133.050","133.150","133.350","132.925","","-0.08%"
"20/04/2015","133.150","133.150","133.300","132.925","","0.04%"
"17/04/2015","133.100","133.100","133.300","132.925","","0.00%"
"16/04/2015","133.100","133.100","133.250","132.925","","0.00%"
"15/04/2015","133.100","133.050","133.200","132.875","","0.04%"
"14/04/2015","133.050","133.050","133.050","133.050","","0.00%"
"13/04/2015","133.050","133.050","133.050","133.050","","0.00%"
"10/04/2015","133.050","133.100","133.200","132.900","","-0.04%"
"09/04/2015","133.100","133.000","133.150","132.875","","0.08%"
"08/04/2015","133.000","133.250","133.250","132.875","","-0.04%"
"07/04/2015","133.050","133.250","133.300","132.875","","-0.08%"
"06/04/2015","133.150","133.150","133.425","132.900","","0.00%"
"03/04/2015","133.150","133.150","133.150","133.150","","0.00%"
"02/04/2015","133.150","133.200","133.300","132.925","","0.00%"
"01/04/2015","133.150","133.350","133.500","132.925","","-0.02%"
"31/03/2015","133.175","133.150","133.500","132.925","","0.02%"
"30/03/2015","133.150","133.150","133.400","132.900","","0.04%"
"27/03/2015","133.100","133.100","133.400","132.525","","0.08%"
"26/03/2015","133.000","133.300","133.300","132.900","","-0.23%"
"25/03/2015","133.300","133.300","133.300","132.925","","0.00%"
"24/03/2015","133.300","133.150","133.300","132.925","","0.00%"
"23/03/2015","133.300","133.200","133.300","132.925","","0.00%"
"20/03/2015","133.300","133.300","133.300","132.925","","0.00%"
"19/03/2015","133.300","133.200","133.350","132.925","","0.11%"
"18/03/2015","133.150","133.300","133.600","132.925","","0.00%"
"17/03/2015","133.150","132.950","133.550","132.925","","0.00%"
"16/03/2015","133.150","133.200","133.500","132.925","","0.08%"
"13/03/2015","133.050","133.200","133.550","132.925","","-0.04%"
"12/03/2015","133.100","133.200","133.550","132.925","","-0.04%"
"11/03/2015","133.150","133.150","133.450","132.925","","0.00%"
"10/03/2015","133.150","133.125","133.425","132.475","","0.04%"
"09/03/2015","133.100","133.150","133.450","132.900","","0.08%"
"06/03/2015","133.000","133.050","133.200","132.925","","0.04%"
"05/03/2015","132.950","132.950","132.950","132.950","","0.00%"
"04/03/2015","132.950","132.950","133.650","132.925","","-0.15%"
"03/03/2015","133.150","133.150","133.250","132.900","","0.04%"
"02/03/2015","133.100","133.050","133.250","132.900","","-0.04%"
"27/02/2015","133.150","133.050","133.200","132.800","","0.08%"
"26/02/2015","133.050","132.900","133.200","132.800","","0.00%"
"25/02/2015","133.050","133.000","133.475","132.875","","0.00%"
"24/02/2015","133.050","132.950","133.100","132.800","","0.04%"
"23/02/2015","133.000","133.000","133.250","132.800","","0.00%"
"20/02/2015","133.000","132.900","133.350","132.800","","0.06%"
"19/02/2015","132.925","132.600","133.150","132.600","","0.02%"
"18/02/2015","132.900","132.900","133.300","132.500","","-0.08%"
"17/02/2015","133.000","133.000","133.000","133.000","","0.00%"
"16/02/2015","133.000","132.925","133.150","132.725","","0.08%"
"13/02/2015","132.900","132.925","133.250","132.725","","-0.08%"
"12/02/2015","133.000","133.000","133.175","132.725","","0.08%"
"11/02/2015","132.900","132.900","133.075","132.750","","0.00%"
"10/02/2015","132.900","132.900","133.000","132.550","","0.00%"
"09/02/2015","132.900","133.000","133.150","132.750","","-0.08%"
"06/02/2015","133.000","132.500","133.250","132.225","","0.49%"
"05/02/2015","132.350","132.350","132.825","132.100","","0.00%"
"04/02/2015","132.350","132.350","132.350","132.350","","0.00%"
"03/02/2015","132.350","132.350","132.350","132.350","","0.00%"
"02/02/2015","132.350","132.250","132.600","132.100","","0.09%"
"30/01/2015","132.225","132.250","132.500","132.125","","0.00%"
"29/01/2015","132.225","132.750","132.825","132.100","","-0.06%"
"28/01/2015","132.300","131.300","132.625","131.300","","0.17%"
"27/01/2015","132.075","132.100","132.550","131.850","","0.06%"
"26/01/2015","132.000","131.975","132.175","131.850","","0.09%"
"23/01/2015","131.875","131.600","132.250","131.525","","-0.06%"
"22/01/2015","131.950","131.775","132.250","131.700","","0.06%"
"21/01/2015","131.875","131.650","132.050","131.300","","0.02%"
"20/01/2015","131.850","131.875","132.000","131.250","","-0.02%"
"19/01/2015","131.875","131.500","131.900","131.250","","0.38%"
"16/01/2015","131.375","131.350","131.900","131.250","","-0.13%"
"15/01/2015","131.550","131.550","131.550","131.550","","0.00%"
"14/01/2015","131.550","131.550","131.550","131.550","","0.00%"
"13/01/2015","131.550","131.600","132.050","131.200","","0.00%"
"12/01/2015","131.550","131.500","131.875","131.250","","0.04%"
"09/01/2015","131.500","131.575","131.875","131.150","","-0.02%"
"08/01/2015","131.525","131.400","131.875","131.275","","0.06%"
"07/01/2015","131.450","131.350","131.875","130.975","","-0.04%"
"06/01/2015","131.500","131.350","131.875","130.975","","0.15%"
"05/01/2015","131.300","131.300","131.300","131.300","","0.00%"
"02/01/2015","131.300","131.350","131.750","131.050","","0.04%"
"01/01/2015","131.250","131.250","131.600","130.250","","0.04%"
"31/12/2014","131.200","131.325","131.750","130.975","","-0.04%"
"30/12/2014","131.250","131.250","131.625","130.975","","0.00%"
"29/12/2014","131.250","131.200","131.600","130.975","","0.04%"
"26/12/2014","131.200","131.200","131.600","131.025","","-0.04%"
"25/12/2014","131.250","131.250","131.250","131.250","","0.00%"
"24/12/2014","131.250","131.150","131.600","131.100","","0.00%"
"23/12/2014","131.250","131.175","131.600","131.125","","0.00%"
"22/12/2014","131.250","131.150","131.600","130.975","","0.04%"
"19/12/2014","131.200","131.300","131.600","130.975","","-0.08%"
"18/12/2014","131.300","131.100","131.650","130.975","","0.08%"
"17/12/2014","131.200","131.400","131.600","130.975","","0.04%"
"16/12/2014","131.150","131.200","131.600","130.975","","-0.08%"
"15/12/2014","131.250","131.225","131.650","130.975","","0.06%"
"12/12/2014","131.175","131.200","131.750","130.975","","-0.02%"
"11/12/2014","131.200","131.200","131.700","130.975","","0.04%"
"10/12/2014","131.150","131.225","131.600","130.975","","0.00%"
"09/12/2014","131.150","131.200","131.875","130.975","","-0.04%"
"08/12/2014","131.200","131.375","131.375","131.050","","0.04%"
"05/12/2014","131.150","131.150","131.400","131.075","","0.00%"
"04/12/2014","131.150","131.150","131.850","130.975","","0.00%"
"03/12/2014","131.150","131.150","131.300","130.975","","0.04%"
"02/12/2014","131.100","131.150","131.750","130.975","","0.00%"
"01/12/2014","131.100","131.600","131.600","130.975","","-0.04%"
"28/11/2014","131.150","131.250","131.550","131.075","","0.00%"
"27/11/2014","131.150","131.150","131.425","131.050","","0.02%"
"26/11/2014","131.125","130.950","131.750","130.950","","0.02%"
"25/11/2014","131.100","131.250","131.550","130.975","","0.04%"
"24/11/2014","131.050","131.075","131.250","130.975","","-0.02%"
"21/11/2014","131.075","131.100","131.200","130.975","","0.00%"
"20/11/2014","131.075","131.075","131.175","130.950","","0.00%"
"19/11/2014","131.075","131.050","131.175","130.975","","0.02%"
"18/11/2014","131.050","131.050","131.075","130.475","","0.04%"
"17/11/2014","131.000","130.975","131.075","130.850","","0.00%"
"14/11/2014","131.000","131.000","131.100","130.900","","0.04%"
"13/11/2014","130.950","130.950","131.025","130.875","","0.04%"
"12/11/2014","130.900","130.950","131.050","130.850","","0.00%"
"11/11/2014","130.900","130.950","131.040","130.875","","0.00%"
"10/11/2014","130.900","130.950","131.015","130.875","","0.00%"
